"X1";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"hsa-miR-1277-3p";14,0828844196328;-0,60529489820436;0,372112208590942;-1,62664616809107;0,103812267920832;0,433992953391257
"hsa-miR-128-3p";7,4144162268074;0,734047284493782;0,249888777428395;2,93749600141256;0,00330874438746236;0,0496607894757033
"hsa-miR-1281";1,04504060702355;-0,860906313494968;0,782825514245053;-1,09974227695582;0,271444428862512;NA
"hsa-miR-1285-5p";4,02068466723933;-0,709791091553445;0,394545421368582;-1,79900983032918;0,0720171257176308;0,349631529693659
"hsa-miR-1287-3p";0,435904441496209;-0,389138750533576;1,76359211762;-0,220651218978414;0,825364016832606;NA
"hsa-miR-1287-5p";1,18102793231137;-0,022541273793658;0,711196751150318;-0,031694849220274;0,974715402551507;NA
"hsa-miR-1290";31,8674026354718;-0,0479277330000779;0,155994523923951;-0,30723984274886;0,758660820995682;0,938022972552767
"hsa-miR-1296-5p";0,851514377064687;0,621393838907371;0,828624936104257;0,749909653731671;0,453309119883717;NA
"hsa-miR-1301-3p";7,21742587970066;0,153615711269446;0,278918194132993;0,55075543475016;0,581801337841656;0,846000979180378
"hsa-miR-1304-3p";2,97757030932294;0,359510300837724;0,432434578517756;0,831363444778185;0,405768343284328;0,747619867418415
"hsa-miR-1304-5p";7,73683640454963;-0,270647409097067;0,250792133711587;-1,0791702478528;0,28051184017987;0,656471130950914
"hsa-miR-1306-3p";1,10611912266765;-0,554813527477131;0,804869330543267;-0,689321243117371;0,490621132588931;NA
"hsa-miR-1306-5p";53,8011107546447;-0,2125084218021;0,130588138003969;-1,62731795590532;0,103669586274172;0,433992953391257
"hsa-miR-1307-3p";62,8286147116764;0,0850556417538805;0,123141966058478;0,690712065726551;0,489746505361592;0,768032468119726
"hsa-miR-130a-3p";1562,52362966671;0,316566365110682;0,0895854785084771;3,53367945766708;0,00040981776887961;0,0137544635528841
"hsa-miR-130a-5p";2,00067307209728;0,275420256168978;0,486704325602451;0,565888244013567;0,571469753673408;0,846000979180378
"hsa-miR-130b-3p";246,144655207375;0,34427653620134;0,0974528772972787;3,53274880895644;0,000411263029820454;0,0137544635528841
"hsa-miR-130b-5p";97,1370221672309;-0,237777486248312;0,110864822925246;-2,1447514186591;0,0319727273607499;0,2572692284129
"hsa-miR-132-3p";0,905238230296699;-0,446087640595981;0,84564879881673;-0,527509341017414;0,597839931424058;NA
"hsa-miR-134-5p";52,8973041377377;-0,453625772787888;0,139077262299749;-3,26168178239087;0,00110753395510859;0,0256436708067451
"hsa-miR-1343-3p";3,01486095528613;0,428199337894647;0,411931086982735;1,03949265162547;0,298575673863865;0,673459878496266
"hsa-miR-135a-5p";1,19560824024226;0,0569035550787321;0,84485570608368;0,067352986633076;0,946300695383819;NA
"hsa-miR-136-3p";3,39600081818577;-0,146056638677863;0,442457241431685;-0,3301033975741;0,741321836104823;0,93363126639143
"hsa-miR-136-5p";3,28368706091063;-0,353807651485241;0,431558158101423;-0,819837708645728;0,412308631200854;0,747619867418415
"hsa-miR-139-3p";1,73639551018206;-0,677441027645738;0,542576237052155;-1,24856376188959;0,211824673545668;0,590363210530058
"hsa-miR-139-5p";64,2253867757541;0,0371927374755733;0,0991344223078458;0,375174804167187;0,707530467276096;0,9101139771372
"hsa-miR-140-3p";85,3800915299704;0,148004391876304;0,0966831186166626;1,53081938185221;0,125814038061896;0,461829578739399
"hsa-miR-140-5p";15,2696529624074;0,158133534960806;0,219838850331945;0,719315692936135;0,471946428921746;0,768032468119726
"hsa-miR-141-3p";0,79584953275955;-0,229301971806863;1,15913325856485;-0,197821924366804;0,843184391977313;NA
"hsa-miR-142-3p";1327,4667258682;-0,0705111758874776;0,0980295506923518;-0,719284903271303;0,471965395744162;0,768032468119726
"hsa-miR-142-5p";719,495446895126;0,117127327324675;0,0903832273858877;1,29589671349757;0,195011071672732;0,580622212484518
"hsa-miR-143-3p";61,2086895374155;0,212596674093808;0,116390650142961;1,82657862837503;0,0677631491334414;0,335148510746416
"hsa-miR-143-5p";0,345138855157;-0,386509665688368;1,52199041331578;-0,253950131555904;0,79953408456419;NA
"hsa-miR-144-3p";1,51497415572748;0,014072514246838;0,674808280467353;0,0208540924202823;0,983362047592353;NA
"hsa-miR-144-5p";7,69197939983381;-0,223008351175161;0,276480596530678;-0,806596752081355;0,419898845590546;0,756823667800925
"hsa-miR-145-3p";1,02044849939552;0,495079765551661;0,778239520052856;0,636153462777162;0,524676402058245;NA
"hsa-miR-145-5p";61,0827187666366;0,42034529177218;0,11888115174601;3,53584471212264;0,000406473551966971;0,0137544635528841
"hsa-miR-1468-5p";0,864496586230391;0,663837553871983;0,862066545131744;0,770053724530666;0,441268024516458;NA
"hsa-miR-146a-5p";1082,31543243255;0,0221736150133808;0,0896706361140014;0,24727844001453;0,804692743147681;0,950653000718188
"hsa-miR-146b-5p";145,539602719882;0,0865914476221476;0,0917115754741932;0,944171411017943;0,345082062025968;0,686322740157535
"hsa-miR-148a-3p";2,54300555805959;0,0193423171436995;0,455798680923052;0,0424360972360182;0,966151052822853;0,980962183313511
"hsa-miR-148b-3p";13,0773144197123;0,351930540332041;0,207619967649884;1,69507077915315;0,0900619946807419;0,410737278771262
"hsa-miR-148b-5p";7,19616525241149;0,137789704563292;0,30720520605576;0,448526593453246;0,653773198047596;0,902789087824896
"hsa-miR-150-5p";7,64194367823301;0,146634387949598;0,273134089498928;0,536858611162753;0,591365282243257;0,855773797861636
"hsa-miR-151a-3p";1438,5368023661;-0,245533134995561;0,0875766225657814;-2,80363786364487;0,00505296243625881;0,0609649451371606
"hsa-miR-151a-5p";265,302340447569;-0,150454621893382;0,07950068661891;-1,89249462227405;0,0584251094866519;0,310181222586206
"hsa-miR-152-3p";4,52264142547083;-0,0139894731109074;0,331669496038566;-0,0421789560933295;0,966356038233429;0,980962183313511
"hsa-miR-153-3p";1,71785412293971;-1,47320442823727;0,677140919242286;-2,17562458031007;0,0295833438185655;0,247349624705228
"hsa-miR-1538";0,604280012767058;0,0529364326362144;1,32108504217304;0,0400704201064449;0,968036984189471;NA
"hsa-miR-154-3p";0,499485390121288;0,146810870904954;1,28464054311034;0,114281673338364;0,909014509868835;NA
"hsa-miR-154-5p";6,27164739013612;-0,0591449077550752;0,303282364978095;-0,195015980435747;0,845380437227577;0,959459294086836
"hsa-miR-15a-3p";2,14277663263248;1,0561586613285;0,561042609267927;1,88249278019475;0,0597691392358803;0,310181222586206
"hsa-miR-15a-5p";2,58830872555795;0,439020185037046;0,478587075813085;0,917325617895515;0,358972037085954;0,699035935395495
"hsa-miR-15b-3p";68,9922201266776;-0,00378466116850777;0,118141550270696;-0,0320349712682458;0,974444162161927;0,980962183313511
"hsa-miR-15b-5p";27,3964050299562;-0,292153811980164;0,182964278104342;-1,59678061207966;0,110314619128592;0,442729338102749
"hsa-miR-16-2-3p";6,07203466606598;0,176859442511911;0,29118938049159;0,607369136241625;0,543605966113452;0,818126979000745
"hsa-miR-16-5p";183,70107674772;-0,130332757905274;0,121268537619375;-1,07474502837948;0,282488897972687;0,656471130950914
"hsa-miR-17-3p";5,56752807901034;0,490549240981466;0,295214799223557;1,66166886711526;0,0965791867352501;0,426977189739928
"hsa-miR-17-5p";1294,12261374366;0,0943221707555591;0,0900538159521742;1,04739782271583;0,294916135494897;0,673459878496266
"hsa-miR-181a-2-3p";0,633920413846078;-0,356715764163951;0,948199682270585;-0,376203209971289;0,706765829203862;NA
"hsa-miR-181a-3p";1,03629604200831;0,522304689691588;0,788784466910314;0,662164015142776;0,507866113404443;NA
"hsa-miR-181a-5p";23,9016393598108;0,475661311665327;0,1614289399035;2,94656777124146;0,00321321998459235;0,0496607894757033
"hsa-miR-181b-3p";0,23154506999805;-0,512043669843479;2,35393684841784;-0,217526511039428;0,827798048765444;NA
"hsa-miR-181c-5p";7,97854391975841;0,300149308167051;0,256231841327396;1,17139738219943;0,241439084027516;0,610216280217795
"hsa-miR-181d-5p";1,51668055287131;-0,842681969546021;0,655778972637341;-1,28500913372842;0,198789092296475;0,58092734739067
