;DBO.33;DBO.34;DBO.35;DBO.36;DBO.43;DBO.44;DBO.47;DBO.48;DBO.51;DBO.52;DBO.55;DBO.56;DBO.61;DBO.62;DBO.73;DBO.74;DBO.77;DBO.78;DBO.81;DBO.82
hsa-miR-126-3p;13,22754699;13,44951137;13,50609049;13,23639599;12,71426239;12,79446342;12,63670529;12,52550723;12,05214186;12,44909938;12,94274458;12,28227652;12,62383389;12,33049554;11,81045214;11,75391968;11,86855581;11,88980995;11,75219134;12,07720461
hsa-miR-126-5p;13,45802033;12,91413997;13,13978907;13,58753267;13,61523063;13,25618375;13,30686161;12,76357711;14,38025006;12,8150351;12,54426919;13,01235494;13,40171239;12,66823324;12,99822649;13,62908108;12,88601841;13,93090502;13,97401742;13,94546461
hsa-miR-1261;3,022782068;3,153992122;3,092892362;3,05980467;3,210484289;2,555028986;2,555028986;3,122138887;3,140044007;3,533170802;2,555028986;3,511603128;3,076452259;3,349935536;3,531177434;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986
hsa-miR-127-3p;3,840853886;2,980069334;3,092892362;3,265340252;4,313943638;4,287174425;5,15591999;5,431203163;4,140122786;4,364686289;2,555028986;3,511603128;4,945334129;5,070261709;4,413571689;4,271423705;3,481428941;3,167292986;3,46118584;3,867155552
hsa-miR-1271-5p;3,358336682;3,796139885;3,83751626;3,549907366;2,555028986;3,542400682;3,10281927;3,122138887;4,046191027;3,990548528;3,675726016;3,885134724;3,800203191;3,789810397;2,555028986;2,555028986;3,680471447;3,414641096;3,46118584;2,555028986
hsa-miR-1273h-3p;2,555028986;3,153992122;3,311403136;3,265340252;3,47434292;3,132418028;2,555028986;3,352043066;3,55511652;3,406050547;2,555028986;3,039841164;3,800203191;3,349935536;2,555028986;2,555028986;3,215619227;2,555028986;2,555028986;2,555028986
hsa-miR-1273h-5p;5,438406176;4,913207167;5,152709644;4,592850289;5,040778768;5,19240054;5,005200716;5,399506975;5,22023282;5,385397901;5,206148469;5,005200716;5,248191027;4,897573913;4,982826318;4,606186896;5,111743305;5,236421533;4,078663879;4,356032088
hsa-miR-1277-3p;4,736677097;5,011787467;3,731809889;4,086498758;4,861789103;4,682075965;5,258951225;3,668707193;5,22023282;4,252708209;4,216875639;4,274063795;4,331013893;3,999899641;4,18939598;4,986141106;4,509393524;5,667549609;4,895228696;4,214891142
hsa-miR-1281;3,358336682;3,578343142;3,092892362;2,555028986;2,555028986;3,132418028;3,325205327;2,555028986;3,376887026;3,533170802;4,414005912;3,511603128;3,076452259;3,999899641;4,51196362;3,802345232;3,215619227;3,753967133;3,46118584;3,638072977
hsa-miR-1285-5p;3,840853886;2,980069334;3,476306879;4,014108504;3,834862272;3,926560297;3,957222095;3,525242151;4,140122786;3,643678197;4,50185434;4,096210468;4,133053582;3,789810397;3,739914033;4,745388025;4,110820573;4,11064688;4,895228696;3,964870591
