;DBO.33;DBO.34;DBO.35;DBO.36;DBO.43;DBO.44;DBO.47;DBO.48;DBO.51;DBO.52;DBO.55;DBO.56;DBO.61;DBO.62;DBO.73;DBO.74;DBO.77;DBO.78;DBO.81;DBO.82
hsa-let-7a-3p;6,9633678;6,722376143;6,715877723;6,799163707;6,94687488;6,88594041;6,682197129;6,452279425;7,386076177;6,884373755;6,772194719;6,468725244;6,724211261;6,243227679;6,381420213;6,80513111;6,456631723;7,066194405;6,724219064;7,204701058
hsa-let-7a-5p;15,07252665;14,87732381;15,12172089;15,0368518;15,22388358;15,04071237;15,52614486;15,14656231;15,20147534;14,53350722;16,49909058;15,00812556;15,07263107;14,76971051;15,40298193;15,5131252;15,41373037;15,57304229;15,36466968;15,37537009
hsa-let-7b-3p;6,552111865;6,361023573;6,309327578;7,029931094;6,712297819;6,782616352;6,695249628;6,518663265;7,668609275;6,729061321;6,403067407;7,051792597;7,064266198;6,787149923;7,027093112;7,119399964;6,608668858;7,462607695;7,480084113;7,074834415
hsa-let-7b-5p;12,84158905;12,47117682;12,78567782;12,5624656;13,07563412;12,90754252;13,19664116;13,08445217;12,99372269;12,44399399;13,98629947;12,74025815;12,69571076;12,48082181;12,9978813;13,04389342;13,36623267;13,38964335;13,33039328;13,08595302
hsa-let-7d-3p;9,913877218;10,10597799;10,05704868;10,79184216;10,2936441;10,52257168;10,77113779;10,49533506;11,88351489;11,01538654;10,87665943;11,3929879;10,97699007;10,65681767;11,0254977;11,41802683;10,59128829;11,80249255;11,53821733;11,17630836
hsa-let-7d-5p;13,12754989;12,82433344;13,12982519;12,88208444;12,98477067;12,90861683;13,11644337;13,11603576;12,20449957;12,40533013;14,11302447;12,59800603;12,68673826;12,60190166;12,74916421;12,93144268;12,97889325;12,8606715;12,69948379;12,79751843
hsa-let-7e-3p;5,174362776;5,068420676;5,219092727;5,329649269;5,533102808;5,244361226;5,123925216;4,877846003;5,401647662;5,262715197;5,173927967;5,185236262;4,877846003;4,877846003;4,877846003;4,877846003;5,175239872;4,877846003;5,783732559;4,877846003
hsa-let-7e-5p;9,594542338;9,21371458;10,43940707;10,10647086;10,34248021;10,26277049;9,80396051;9,780105492;9,856138188;9,532009507;11,28292706;9,95097322;9,111507984;8,946727124;10,40246853;10,17237854;9,506104227;9,574584124;9,80014252;9,764694865
hsa-let-7f-1-3p;7,015693093;6,781808144;6,764138871;7,211214742;6,915905164;7,026766489;7,102286627;6,711878148;7,835522502;7,102344196;7,240931974;7,133464548;7,165732958;7,063541913;7,13639021;7,372860634;7,006321067;7,900340963;7,860244284;7,497380124
hsa-let-7f-2-3p;5,296452522;5,476627246;5,415545593;5,770826186;4,877846003;5,455059528;5,225435281;5,237786059;4,877846003;5,463459518;5,173927967;5,311747029;5,535093081;5,443265905;5,320887904;5,28322197;5,391148055;5,599949154;5,456354007;4,877846003
hsa-let-7f-5p;14,3802415;14,39769102;14,49269081;14,35740335;14,28939387;14,13985702;14,44606132;14,01290308;14,10811884;13,52088841;14,96435623;14,04557735;14,32105085;13,94652951;14,36846923;14,6071084;14,47660607;14,69033212;14,35740335;14,63657197
hsa-let-7g-3p;5,087699203;5,207453738;5,119424443;5,473726226;5,387131156;5,137358895;5,225435281;5,132691214;5,249241032;5,10048882;4,877846003;5,408276545;5,111975611;5,132002131;5,320887904;4,877846003;5,538236244;5,353368057;5,288273651;5,305526466
hsa-let-7g-5p;12,69349982;12,90618226;13,05797155;12,87763279;12,65615312;12,6172548;12,79124907;12,70913084;12,07257422;11,96134628;12,91626409;12,40799388;12,59326;12,36474665;12,68846244;12,82024105;12,62116164;12,62064806;12,25865471;12,62377481
hsa-let-7i-3p;5,706558587;5,93300758;5,768590461;6,025932659;5,533102808;5,983318222;5,845136432;5,964281256;6,328711876;6,15428376;5,754119559;6,516773167;5,928564041;5,933804564;6,134499976;5,575473079;5,538236244;5,648688058;5,783732559;5,528017448
hsa-let-7i-5p;12,3209432;12,46515896;12,5657832;12,35093825;12,33872829;12,32547433;12,53692397;12,42000367;11,35440534;11,355806;12,37798145;12,2305192;12,68316762;12,46666726;11,89995602;11,80289526;12,36275169;12,05759829;11,7990567;12,07459766
hsa-miR-1-3p;7,989839477;8,143870815;8,587268277;8,271144486;8,259729408;7,954270799;7,547629321;7,068555767;7,359664988;7,177371792;7,13855464;6,671074796;7,686064782;7,455785837;8,118258172;8,354107554;7,865031077;8,180152529;7,168216868;7,468616935
hsa-miR-1-5p;4,877846003;4,877846003;5,219092727;5,104438911;5,172896567;4,877846003;4,877846003;4,877846003;4,877846003;5,10048882;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003
hsa-miR-101-3p;7,378580411;7,616224117;7,367414602;7,275918298;7,428401499;7,10237453;6,909442325;6,739057191;6,845003461;7,117694412;7,723126677;6,751169581;7,107497141;6,966722349;6,815189399;7,2172165;6,960998618;6,670902924;6,65123473;6,730508469
hsa-miR-103a-1-5p;5,087699203;5,068420676;5,359329918;4,877846003;4,877846003;5,244361226;4,877846003;5,132691214;4,877846003;5,192399615;4,877846003;5,185236262;5,208593941;5,316930173;4,877846003;4,877846003;5,469531861;4,877846003;4,877846003;4,877846003
hsa-miR-103a-2-5p;5,654331051;5,738964061;5,704328246;5,587942786;5,533102808;5,455059528;5,56810453;5,592272407;5,567983497;5,575777553;5,295840803;5,489205444;5,574225656;5,672513708;5,41940867;5,99971728;5,757899676;5,547359994;5,456354007;5,613335108
hsa-miR-103a-3p;10,4734543;10,49319803;10,70032429;10,39529447;10,11722211;10,02441683;10,31909047;10,35336928;9,628381822;10,13958102;10,0910647;9,965558949;9,814813031;10,12479183;10,0779501;9,711195485;10,36437877;9,978447094;9,98559805;10,01163661
hsa-miR-106b-3p;7,100777028;7,043167784;7,242507659;7,196400397;7,118601977;7,004335291;7,092817246;7,243377282;7,095196633;7,102344196;7,893913167;7,089546334;6,7010406;7,084115677;7,075053356;7,013741976;7,021083396;6,766644907;6,979812212;6,691603543
hsa-miR-106b-5p;5,944757789;5,948660434;5,856208167;5,621869721;5,796885966;5,864924896;5,928414809;5,634668103;5,249241032;5,42054325;5,388899263;5,65364263;5,646108685;5,780603814;5,57432937;5,680861474;5,600035648;5,547359994;5,867084241;5,789865752
hsa-miR-107;6,747807308;6,938523508;6,991014976;6,887112971;6,730589201;6,529390521;6,720945934;6,960341021;6,532469138;6,929245089;7,027576573;6,871250837;6,895549523;6,988869908;6,8715475;6,18190313;7,146946575;6,620071342;7,036464359;6,828665372
hsa-miR-10a-3p;4,877846003;5,207453738;5,119424443;4,877846003;4,877846003;4,877846003;5,123925216;4,877846003;4,877846003;5,192399615;4,877846003;5,095408904;4,877846003;5,236815297;5,191736903;4,877846003;4,877846003;5,353368057;5,288273651;5,12536887
hsa-miR-10a-5p;5,174362776;4,877846003;5,119424443;5,269516031;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;5,10048882;4,877846003;5,185236262;5,208593941;5,132002131;4,877846003;5,680861474;5,297686451;5,426115236;4,877846003;5,371093289
hsa-miR-1179;5,240685896;5,302756365;5,295303247;5,197969105;5,387131156;4,877846003;5,368237005;4,877846003;4,877846003;4,877846003;4,877846003;5,095408904;5,208593941;5,384212648;4,877846003;4,877846003;4,877846003;5,15321505;4,877846003;4,877846003
hsa-miR-1185-1-3p;5,087699203;5,147164061;4,877846003;5,269516031;5,958320196;5,509324468;6,119393898;5,847771086;5,462683251;5,262715197;5,388899263;5,185236262;5,646108685;5,496454277;5,698839411;5,855278589;5,175239872;4,877846003;5,288273651;5,428651655
hsa-miR-1197;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;5,368237005;5,132691214;5,249241032;5,192399615;4,877846003;4,877846003;4,877846003;5,545184391;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003
hsa-miR-122-5p;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;5,658318945;5,878930983;6,066831146;6,628972965;4,877846003;5,132002131;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003
hsa-miR-1226-3p;5,467804706;5,608637161;5,466195951;5,621869721;5,387131156;5,727386308;5,56810453;5,385575088;5,614655031;5,700533987;5,535362477;5,76183725;5,741869719;5,672513708;5,501988056;4,877846003;5,656581701;5,599949154;5,690678592;5,907304938
hsa-miR-1227-3p;5,087699203;5,302756365;5,219092727;5,473726226;5,172896567;5,137358895;5,368237005;5,498110439;5,332088582;5,540594515;5,173927967;5,450247125;5,399110388;5,496454277;5,320887904;5,772857467;4,877846003;5,489924187;4,877846003;5,480503287
hsa-miR-1229-3p;5,778675876;5,979182993;6,097908252;6,274999289;5,994482524;6,010661535;6,097485479;6,485945237;6,831780169;6,356338238;5,961941833;6,418593268;6,426318778;6,135287984;6,062385284;6,236020993;6,16688009;6,796984884;6,688270066;6,522172644
hsa-miR-1236-3p;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;5,123925216;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;5,191736903;4,877846003;4,877846003;4,877846003;4,877846003;5,227469525
hsa-miR-1238-3p;4,877846003;5,147164061;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;5,249241032;4,877846003;4,877846003;4,877846003;4,877846003;5,132002131;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003
hsa-miR-1238-5p;4,877846003;4,877846003;5,119424443;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003;5,426115236;4,877846003;4,877846003
hsa-miR-1246;7,874059837;7,219995371;7,367414602;8,016638986;7,158236806;7,251135271;7,547629321;7,587093567;11,59271972;11,09298609;13,13951272;12,74223437;8,188653122;9,480711661;8,690103394;8,333181557;7,309937555;7,747324437;6,950529522;8,48158296
hsa-miR-1249-3p;5,087699203;5,258170279;5,415545593;5,269516031;4,877846003;4,877846003;5,303043992;5,674620636;4,877846003;5,262715197;4,877846003;5,311747029;5,399110388;5,384212648;5,320887904;4,877846003;4,877846003;4,877846003;4,877846003;5,305526466
hsa-miR-125a-3p;5,087699203;5,147164061;5,359329918;5,197969105;4,877846003;4,877846003;5,225435281;5,132691214;5,140823476;5,10048882;4,877846003;5,095408904;5,111975611;4,877846003;5,320887904;4,877846003;4,877846003;4,877846003;4,877846003;5,227469525
hsa-miR-125a-5p;7,327432984;7,803876713;8,63026348;8,469039291;8,104998755;7,976604664;7,456532494;7,65600936;8,538868238;8,680601102;7,358786046;8,600605892;7,686064782;7,747393798;8,11090193;7,706578347;7,841175969;7,329780587;7,576127991;7,573499561
hsa-miR-125b-5p;5,567868237;5,676727905;5,67001815;5,654192811;5,650567849;4,877846003;5,56810453;5,712483046;5,567983497;5,728612767;5,388899263;5,76183725;5,399110388;5,632662025;5,805322833;5,99971728;5,847578223;5,922962529;5,584055229;5,82079972
hsa-miR-126-3p;13,23459383;13,45555698;13,51190442;13,24339993;12,72430206;12,80396332;12,64729591;12,53694057;12,06797296;12,46115007;12,95132138;12,29579239;12,63451881;12,34357064;11,82913804;11,77334362;11,88651205;11,90750639;11,77163829;12,09276562
hsa-miR-126-5p;13,46403052;12,92288762;13,14727587;13,59302854;13,62062233;13,26309267;13,31353301;12,77328138;14,38342705;12,82440126;12,55555581;13,02052973;13,40796089;12,67859636;13,00648133;13,63442144;12,89493731;13,9352399;13,978225;13,94975608
hsa-miR-1261;5,087699203;5,147164061;5,119424443;5,104438911;5,172896567;4,877846003;4,877846003;5,132691214;5,140823476;5,321819655;4,877846003;5,311747029;5,111975611;5,236815297;5,320887904;4,877846003;4,877846003;4,877846003;4,877846003;4,877846003
hsa-miR-127-3p;5,467804706;5,068420676;5,119424443;5,197969105;5,702555165;5,688882661;6,161832481;6,325932656;5,614655031;5,728612767;4,877846003;5,311747029;6,041210671;6,112268692;5,753894204;5,680861474;5,297686451;5,15321505;5,288273651;5,480503287
